[MSI]
Submission Title	DEDJTR-FAANG-Chamberlain-Cattle-160421
Submission Identifier	GSB-537
Submission Description	Tissue samples from 2 lactating holstein cows and their foetus'
Submission Version	1.2
Submission Reference Layer	false
Submission Release Date	2016/08/18
Submission Update Date	2016/08/18
Organization Name	DEDJTR	
Organization Address	Agribiosciences Building, 5 Ring Rd Bundoora 3083, Victoria, Australia	
Organization URI	http://economicdevelopment.vic.gov.au/	
Organization Email		
Organization Role	institution	
Person Last Name	Chamberlain	
Person Initials	J	
Person First Name	Amanda	
Person Email	amanda.chamberlain@ecodev.vic.gov.au	
Person Role	submitter	
Term Source Name	OBI	NCBI Taxonomy	EFO	LBO	PATO	ATOL	UBERON	CL	
Term Source URI	https://www.ebi.ac.uk/ols/ontologies/obi	http://www.ncbi.nlm.nih.gov/taxonomy/	http://www.ebi.ac.uk/efo/	https://www.ebi.ac.uk/ols/ontologies/lbo	https://www.ebi.ac.uk/ols/ontologies/pate	http://opendata.inra.fr/ATOL/	https://www.ebi.ac.uk/ols/ontologies/uberon	http://purl.obolibrary.org/obo/	
Term Source Version									

[SCD]
Sample Name	Sample Accession	Sample Description	Characteristic[project]	Material	Term Source REF	Term Source ID	Characteristic[availability]	Derived From	Characteristic[organism part]	Term Source REF	Term Source ID	Characteristic[specimen collection protocol]	Characteristic[specimen collection date]	Unit	Characteristic[animal age at collection]	Unit	Characteristic[developmental stage]	Term Source REF	Term Source ID	Characteristic[health status at collection]	Term Source REF	Term Source ID	Characteristic[fasted status]	Characteristic[number of pieces]	Unit	Characteristic[specimen volume]	Unit	Characteristic[specimen size]	Unit	Characteristic[specimen weight]	Characteristic[specimen picture url]	Characteristic[gestational age at sample collection]	Unit	Characteristic[markers]	Characteristic[purification protocol]	Characteristic[cell type]	Term Source REF	Term Source ID	Characteristic[cell type]	Term Source REF	Term Source ID	Organism	Term Source REF	Term Source ID	Child Of	Sex	Term Source REF	Term Source ID	Characteristic[breed]	Term Source REF	Term Source ID	Characteristic[health status]	Term Source REF	Term Source ID	Characteristic[birth date]	Unit	Characteristic[birth location]	Characteristic[birth location latitude]	Characteristic[birth location longitude]	Characteristic[birth weight]	Characteristic[placental weight]	Characteristic[pregnancy length]	Unit	Characteristic[pedigree]	Characteristic[lactation duration]	Unit	Term Source REF	Term Source ID	Characteristic[parturition trait]	Term Source REF	Term Source ID	Group Name	Group Accession	
BTA-DEDJTR-2181-AGC	SAMEA4447769	adrenal cortex, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	adrenal cortex	UBERON	UBERON_0001235	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-AGM	SAMEA4447782	adrenal medulla, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	adrenal medulla	UBERON	UBERON_0001236	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-BC	SAMEA4447763	cerebellum, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	cerebellum	UBERON	UBERON_0002037	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-blood	SAMEA4447795	blood, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	blood	UBERON	UBERON_0000178	https://tools.thermofisher.com/content/sfs/manuals/1928MD.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	2	count	10	milliliters	not provided		not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Bone	SAMEA4447770	bone marrow, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	bone marrow	UBERON	UBERON_0002371	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-FoeLung	SAMEA4447783	foetal lung, BTA-DEDJTR-2181F	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447839	lung	UBERON	UBERON_0002048	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	16	week	late embryonic stage	EFO	UBERON_0007220	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	0	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Fsub	SAMEA4447820	subcutaneous adipose tissue, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	subcutaneous adipose tissue	UBERON	UBERON_0002190	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Heart	SAMEA4447801	heart, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	heart	UBERON	UBERON_0000948	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-KidCor	SAMEA4447819	cortex of kidney, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	cortex of kidney	UBERON	UBERON_0001225	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Kidney	SAMEA4447798	renal medulla, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	renal medulla	UBERON	UBERON_0000362	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Leg	SAMEA4447828	semimembranosus muscle, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	semimembranosus muscle	UBERON	UBERON_0001381	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
BTA-DEDJTR-2181-Liver	SAMEA4447787	liver, BTA-DEDJTR-2181	FAANG	specimen from organism	OBI	OBI_0001479	mailto:amanda.chamberlain@ecodev.vic.gov.au	SAMEA4447825	liver	UBERON	UBERON_0002107	ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/DEDJTR_SOP_CryofreezingTissue_20160317.pdf	2015-02-16	YYYY-MM-DD	8	year	adult	EFO	EFO_0001272	normal	PATO	PATO_0000461	fed	4	count	not provided		1	square centimeters	not provided	not provided	16	week																																							Submission GSB-537	SAMEG315291	
