"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Characteristics[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"PS_caco2_anerococult_P_79_1"	"Extraction"	"pyridine/ethoxyamine hydrochloride/MSTFA"	"sylilation"	"caco2_anerococult_P_79_1"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS2)"	""	""	"DB-35ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"medium polarity"	"5 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SOD MeOX60min TMS30min Split3.M"	"PS_caco2_anerococult_P_79_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_humix_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PS_caco2_anerococult_P_79_2"	"Extraction"	"pyridine/ethoxyamine hydrochloride/MSTFA"	"sylilation"	"caco2_anerococult_P_79_2"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS2)"	""	""	"DB-35ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"medium polarity"	"5 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SOD MeOX60min TMS30min Split3.M"	"PS_caco2_anerococult_P_79_2.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_humix_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PS_caco2_anerococult_P_83_1"	"Extraction"	"pyridine/ethoxyamine hydrochloride/MSTFA"	"sylilation"	"caco2_anerococult_P_83_1"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS2)"	""	""	"DB-35ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"medium polarity"	"5 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SOD MeOX60min TMS30min Split3.M"	"PS_caco2_anerococult_P_83_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_humix_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PS_caco2_anerococult_P_83_2"	"Extraction"	"pyridine/ethoxyamine hydrochloride/MSTFA"	"sylilation"	"caco2_anerococult_P_83_2"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS2)"	""	""	"DB-35ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"medium polarity"	"5 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SOD MeOX60min TMS30min Split3.M"	"PS_caco2_anerococult_P_83_2.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_humix_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PS_caco2_anerococult_P_91_1"	"Extraction"	"pyridine/ethoxyamine hydrochloride/MSTFA"	"sylilation"	"caco2_anerococult_P_91_1"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS2)"	""	""	"DB-35ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"medium polarity"	"5 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SOD MeOX60min TMS30min Split3.M"	"PS_caco2_anerococult_P_91_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_humix_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PS_caco2_anerococult_P_91_2"	"Extraction"	"pyridine/ethoxyamine hydrochloride/MSTFA"	"sylilation"	"caco2_anerococult_P_91_2"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS2)"	""	""	"DB-35ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"medium polarity"	"5 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SOD MeOX60min TMS30min Split3.M"	"PS_caco2_anerococult_P_91_2.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_humix_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PS_caco2_aneroctrl_P_56_1"	"Extraction"	"pyridine/ethoxyamine hydrochloride/MSTFA"	"sylilation"	"caco2_aneroctrl_P_56_1"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS2)"	""	""	"DB-35ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"medium polarity"	"5 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SOD MeOX60min TMS30min Split3.M"	"PS_caco2_aneroctrl_P_56_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_humix_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PS_caco2_aneroctrl_P_56_2"	"Extraction"	"pyridine/ethoxyamine hydrochloride/MSTFA"	"sylilation"	"caco2_aneroctrl_P_56_2"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS2)"	""	""	"DB-35ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"medium polarity"	"5 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SOD MeOX60min TMS30min Split3.M"	"PS_caco2_aneroctrl_P_56_2.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_humix_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PS_caco2_aneroctrl_P_87_1"	"Extraction"	"pyridine/ethoxyamine hydrochloride/MSTFA"	"sylilation"	"caco2_aneroctrl_P_87_1"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS2)"	""	""	"DB-35ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"medium polarity"	"5 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SOD MeOX60min TMS30min Split3.M"	"PS_caco2_aneroctrl_P_87_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_humix_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PS_caco2_aneroctrl_P_87_2"	"Extraction"	"pyridine/ethoxyamine hydrochloride/MSTFA"	"sylilation"	"caco2_aneroctrl_P_87_2"	"Chromatography"	"Agilent 7890A GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS2)"	""	""	"DB-35ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"medium polarity"	"5 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"70-800"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"SOD MeOX60min TMS30min Split3.M"	"PS_caco2_aneroctrl_P_87_2.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_humix_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
