"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[injection number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[spectrum type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Rmsd]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Analysis date]"	"Factor Value[Season of sample collection]"
"subject_1863"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_000101.CDF"	"120621_Pivus_000101.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"141.8033881"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1863"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_000102.CDF"	"120621_Pivus_000102.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"141.8033881"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1879"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_000201.CDF"	"120621_Pivus_000201.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"112.9732898"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1879"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_000202.CDF"	"120621_Pivus_000202.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"112.9732898"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1881"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_000301.CDF"	"120621_Pivus_000301.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"144.4517552"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1881"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_000302.CDF"	"120621_Pivus_000302.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"144.4517552"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Spring"
"subject_1896"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_000401.CDF"	"120621_Pivus_000401.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"124.4822483"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Summer"
"subject_1896"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_000402.CDF"	"120621_Pivus_000402.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"124.4822483"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Summer"
"subject_1912"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_000501.CDF"	"120621_Pivus_000501.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MS1 spectrum"	""	""	"116.7965867"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Summer"
"subject_1912"	"Extraction"	"100 µl serum/400 µl methanol, 20/80 (v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C8 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2 QTof"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"120621_Pivus_000502.CDF"	"120621_Pivus_000502.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pivus_metabolite_profiling_mass_spectrometry-alt_v2_maf.tsv"	"Replicate 1"	""	""	"MSn spectrum"	""	""	"116.7965867"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"21/06/12"	"Summer"
