"Sample Name"	"Protocol REF"	"Parameter Value[medium]"	"Parameter Value[serum]"	"Parameter Value[serum concentration]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[medium volume]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[migration modulator]"	"Parameter Value[modulator concentration]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[modulator distribution]"	"Protocol REF"	"Parameter Value[imaging technique]"	"Parameter Value[imaging technique temporal feature]"	"Parameter Value[acquisition duration]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[time interval]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[objective type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[objective magnification]"	"Parameter Value[objective numerical aperture]"	"Parameter Value[acquisition channel count]"	"Parameter Value[reporter]"	"Parameter Value[voxel size]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Assay Name"	"Raw Data File"	"Protocol REF"	"Parameter Value[software]"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Derived Data File"
"culture1"	"migration assay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"gradient"	"imaging"	"phase-contrast microscopy"	"dynamic"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	""	""	""	"20"	""	""	""	""	""	""	""	"culture1"	""	"data transformation"	"CELLMIA"	""	""	""	""
"culture2"	"migration assay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"gradient"	"imaging"	"phase-contrast microscopy"	"dynamic"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	""	""	""	"20"	""	""	""	""	""	""	""	"culture2"	""	"data transformation"	"CELLMIA"	""	""	""	""
"culture3"	"migration assay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"gradient"	"imaging"	"phase-contrast microscopy"	"dynamic"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	""	""	""	"20"	""	""	""	""	""	""	""	"culture3"	""	"data transformation"	"CELLMIA"	""	""	""	""
"culture4"	"migration assay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"gradient"	"imaging"	"phase-contrast microscopy"	"dynamic"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	""	""	""	"20"	""	""	""	""	""	""	""	"culture4"	""	"data transformation"	"CELLMIA"	""	""	""	""
"culture5"	"migration assay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"gradient"	"imaging"	"phase-contrast microscopy"	"dynamic"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	""	""	""	"20"	""	""	""	""	""	""	""	"culture5"	""	"data transformation"	"CELLMIA"	""	""	""	""
"culture6"	"migration assay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"gradient"	"imaging"	"phase-contrast microscopy"	"dynamic"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	""	""	""	"20"	""	""	""	""	""	""	""	"culture6"	""	"data transformation"	"CELLMIA"	""	""	""	""
"culture7"	"migration assay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"gradient"	"imaging"	"phase-contrast microscopy"	"dynamic"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	""	""	""	"20"	""	""	""	""	""	""	""	"culture7"	""	"data transformation"	"CELLMIA"	""	""	""	""
"culture8"	"migration assay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"gradient"	"imaging"	"phase-contrast microscopy"	"dynamic"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	""	""	""	"20"	""	""	""	""	""	""	""	"culture8"	""	"data transformation"	"CELLMIA"	""	""	""	""
"culture9"	"migration assay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"gradient"	"imaging"	"phase-contrast microscopy"	"dynamic"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	""	""	""	"20"	""	""	""	""	""	""	""	"culture9"	""	"data transformation"	"CELLMIA"	""	""	""	""
"culture10"	"migration assay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"gradient"	"imaging"	"phase-contrast microscopy"	"dynamic"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	""	""	""	"20"	""	""	""	""	""	""	""	"culture10"	""	"data transformation"	"CELLMIA"	""	""	""	""
